line_id,timestamp,process_id,level,component,block_id,message,parse_status,Label
605,2008-11-09T20:35:33,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0001_strong_anomaly,Receiving block blk_-3102267849859399193 src: /10.251.215.50:58322 dest: /10.251.215.50:50010,parsed,Anomaly
619,2008-11-09T20:35:33,148,INFO,dfs.DataNode$DataXceiver,blk_TEST0001_strong_anomaly,Receiving block blk_-3102267849859399193 src: /10.251.215.50:51482 dest: /10.251.215.50:50010,parsed,Anomaly
752,2008-11-09T20:35:33,33,INFO,dfs.FSNamesystem,blk_TEST0001_strong_anomaly,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000249_0/part-00249. blk_-3102267849859399193,parsed,Anomaly
6336,2008-11-09T20:36:33,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0001_strong_anomaly,writeBlock blk_-3102267849859399193 received exception java.net.SocketTimeoutException,parsed,Anomaly
6492,2008-11-09T20:36:34,190,INFO,dfs.DataNode$PacketResponder,blk_TEST0001_strong_anomaly,PacketResponder 2 for block blk_-3102267849859399193 terminating,parsed,Anomaly
6493,2008-11-09T20:36:34,190,INFO,dfs.DataNode$PacketResponder,blk_TEST0001_strong_anomaly,PacketResponder blk_-3102267849859399193 2 Exception java.io.EOFException,parsed,Anomaly
91149,2008-11-09T20:47:31,148,INFO,dfs.DataNode$BlockReceiver,blk_TEST0001_strong_anomaly,Exception in receiveBlock for block blk_-3102267849859399193 java.io.IOException: Connection reset by peer,parsed,Anomaly
91150,2008-11-09T20:47:31,148,INFO,dfs.DataNode$DataXceiver,blk_TEST0001_strong_anomaly,writeBlock blk_-3102267849859399193 received exception java.io.IOException: Connection reset by peer,parsed,Anomaly
90002,2026-08-14T12:00:01,999,CRITICAL,dfs.DataNode,blk_TEST0006_bad_level,Receiving block blk_TEST0006_bad_level src: /10.0.0.1:1000 dest: /10.0.0.1:1001,parsed,Normal
1,2008-11-09T20:35:18,143,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,parsed,Normal
2,2008-11-09T20:35:18,35,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,parsed,Normal
3,2008-11-09T20:35:19,143,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,parsed,Normal
4,2008-11-09T20:35:19,145,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,parsed,Normal
5,2008-11-09T20:35:19,145,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,PacketResponder 1 for block blk_-1608999687919862906 terminating,parsed,Normal
6,2008-11-09T20:35:19,145,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,PacketResponder 2 for block blk_-1608999687919862906 terminating,parsed,Normal
7,2008-11-09T20:35:19,145,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6,parsed,Normal
8,2008-11-09T20:35:19,145,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102,parsed,Normal
9,2008-11-09T20:35:19,147,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,PacketResponder 0 for block blk_-1608999687919862906 terminating,parsed,Normal
10,2008-11-09T20:35:19,147,INFO,dfs.DataNode$PacketResponder,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224,parsed,Normal
11,2008-11-09T20:35:19,29,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
12,2008-11-09T20:35:19,30,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
13,2008-11-09T20:35:19,31,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
17,2008-11-09T20:35:21,143,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,parsed,Normal
18,2008-11-09T20:35:21,143,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010,parsed,Normal
25,2008-11-09T20:35:21,147,INFO,dfs.DataNode$DataTransfer,blk_TEST0003_true_normal,10.250.14.224:50010:Transmitted block blk_-1608999687919862906 to /10.251.215.16:50010,parsed,Normal
26,2008-11-09T20:35:21,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178,parsed,Normal
27,2008-11-09T20:35:21,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010,parsed,Normal
30,2008-11-09T20:35:21,19,INFO,dfs.DataNode,blk_TEST0003_true_normal,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010",parsed,Normal
31,2008-11-09T20:35:21,19,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* ask 10.250.14.224:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.215.16:50010 10.251.71.193:50010,parsed,Normal
34,2008-11-09T20:35:21,30,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
36,2008-11-09T20:35:21,34,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
48,2008-11-09T20:35:23,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.250.19.102,parsed,Normal
61,2008-11-09T20:35:24,19,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* ask 10.251.215.16:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.74.79:50010 10.251.107.19:50010,parsed,Normal
66,2008-11-09T20:35:26,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010 of size 91178,parsed,Normal
67,2008-11-09T20:35:26,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010 of size 91178,parsed,Normal
68,2008-11-09T20:35:26,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010,parsed,Normal
69,2008-11-09T20:35:26,146,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010,parsed,Normal
73,2008-11-09T20:35:26,152,INFO,dfs.DataNode$DataTransfer,blk_TEST0003_true_normal,10.251.215.16:50010:Transmitted block blk_-1608999687919862906 to /10.251.74.79:50010,parsed,Normal
74,2008-11-09T20:35:26,19,INFO,dfs.DataNode,blk_TEST0003_true_normal,"10.251.215.16:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.74.79:50010, 10.251.107.19:50010",parsed,Normal
75,2008-11-09T20:35:26,28,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
76,2008-11-09T20:35:26,29,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
77,2008-11-09T20:35:27,145,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.251.31.5:53020 dest: /10.251.31.5:50010,parsed,Normal
78,2008-11-09T20:35:27,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.251.107.19:56341 dest: /10.251.107.19:50010 of size 91178,parsed,Normal
79,2008-11-09T20:35:27,147,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Receiving block blk_-1608999687919862906 src: /10.251.107.19:56341 dest: /10.251.107.19:50010,parsed,Normal
80,2008-11-09T20:35:27,148,INFO,dfs.DataNode$DataTransfer,blk_TEST0003_true_normal,10.251.107.19:50010:Transmitted block blk_-1608999687919862906 to /10.251.31.5:50010,parsed,Normal
81,2008-11-09T20:35:27,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.250.18.114,parsed,Normal
82,2008-11-09T20:35:27,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.203.149,parsed,Normal
84,2008-11-09T20:35:27,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.31.5,parsed,Normal
86,2008-11-09T20:35:27,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.125.193,parsed,Normal
88,2008-11-09T20:35:27,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.30.134,parsed,Normal
90,2008-11-09T20:35:27,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.65.203,parsed,Normal
92,2008-11-09T20:35:27,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.127.191,parsed,Normal
93,2008-11-09T20:35:27,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.111.209,parsed,Normal
98,2008-11-09T20:35:27,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.215.16,parsed,Normal
102,2008-11-09T20:35:27,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.250.19.227,parsed,Normal
117,2008-11-09T20:35:27,19,INFO,dfs.DataNode,blk_TEST0003_true_normal,"10.251.107.19:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.31.5:50010, 10.251.71.240:50010",parsed,Normal
118,2008-11-09T20:35:27,19,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* ask 10.251.107.19:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.31.5:50010 10.251.71.240:50010,parsed,Normal
119,2008-11-09T20:35:28,145,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,Received block blk_-1608999687919862906 src: /10.251.31.5:53020 dest: /10.251.31.5:50010 of size 91178,parsed,Normal
120,2008-11-09T20:35:28,148,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.127.243,parsed,Normal
121,2008-11-09T20:35:28,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.30.6,parsed,Normal
122,2008-11-09T20:35:28,149,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.250.19.16,parsed,Normal
123,2008-11-09T20:35:28,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.214.225,parsed,Normal
124,2008-11-09T20:35:28,150,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.74.192,parsed,Normal
125,2008-11-09T20:35:28,151,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.250.17.177,parsed,Normal
126,2008-11-09T20:35:28,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.71.16,parsed,Normal
127,2008-11-09T20:35:28,152,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.31.242,parsed,Normal
128,2008-11-09T20:35:28,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.250.17.225,parsed,Normal
129,2008-11-09T20:35:28,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.30.85,parsed,Normal
130,2008-11-09T20:35:28,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.66.63,parsed,Normal
131,2008-11-09T20:35:28,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.66.3,parsed,Normal
132,2008-11-09T20:35:28,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.126.227,parsed,Normal
134,2008-11-09T20:35:28,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.126.5,parsed,Normal
136,2008-11-09T20:35:28,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.43.115,parsed,Normal
157,2008-11-09T20:35:28,33,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.5:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
158,2008-11-09T20:35:28,33,INFO,dfs.FSNamesystem,blk_TEST0003_true_normal,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.240:50010 is added to blk_-1608999687919862906 size 91178,parsed,Normal
160,2008-11-09T20:35:29,153,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.31.180,parsed,Normal
161,2008-11-09T20:35:29,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.67.113,parsed,Normal
162,2008-11-09T20:35:29,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.215.192,parsed,Normal
163,2008-11-09T20:35:29,154,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.31.160,parsed,Normal
164,2008-11-09T20:35:29,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.67.225,parsed,Normal
165,2008-11-09T20:35:29,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.42.9,parsed,Normal
166,2008-11-09T20:35:29,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.66.192,parsed,Normal
167,2008-11-09T20:35:29,155,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.31.5:50010 Served block blk_-1608999687919862906 to /10.251.43.147,parsed,Normal
168,2008-11-09T20:35:29,156,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.65.237,parsed,Normal
169,2008-11-09T20:35:29,156,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.199.225,parsed,Normal
170,2008-11-09T20:35:29,157,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.214.18,parsed,Normal
171,2008-11-09T20:35:29,157,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.201.204,parsed,Normal
172,2008-11-09T20:35:29,157,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.75.49,parsed,Normal
173,2008-11-09T20:35:29,157,INFO,dfs.DataNode$DataXceiver,blk_TEST0003_true_normal,10.251.74.79:50010 Served block blk_-1608999687919862906 to /10.251.203.246,parsed,Normal
